"ID","INV","DATA","CATALOG","PCODE","QTY","custnum","custname","TYPE"
1,2513000,17/12/2000',Gardening,GD3200,3,NULL,Rifkin,Mr. Bob',Web'
2,2513000,6/1/2001',Pets,PT1400,1,NULL,Rifkin,Mr. Bob',Web'
3,2513000,6/1/2001',Pet,PT2000,1,NULL,Rifkin,Mr. Bob',Web'
4,2513000,6/1/2001',Pets,PT2100,1,NULL,Rifkin,Mr. Bob',Web'
5,2513000,27/7/2000',Pets,PT2000,4,NULL,Rifkin,Mr. Bob',Web'
6,2513000,1/9/2000',Tosy,TY4300,1,NULL,Rifkin,Mr. Bob',Web'
7,2638000,16/11/2000',Pets,PT1200,3,NULL,Karl,Mr. Adrian',Web'
8,2638000,25/1/2001',Pets,PT1400,1,NULL,Karl,Mr. Adrian',Web'
9,2638000,29/5/2001',Pets,PT1400,2,NULL,Karl,Mr. Adrian',Web'
10,2638000,2/7/2001',Sports,SP2300,1,NULL,Karl,Mr. Adrian',Web'
11,2638000,8/7/2001',Sports,SP2600,1,NULL,Karl,Mr. Adrian',Web'
12,2638000,27/8/2000',Sports,SP3000,1,NULL,Karl,Mr. Adrian',Web'
13,2638000,16/6/2001',Toys,TY3500,4,NULL,Karl,Mr. Adrian',Web'
14,2763000,2/8/2000',Gardening,GD2100,1,NULL,Artis,Ms. Carol',Web'
15,2763000,11/11/2000',Gardening,GD2400,4,NULL,Artis,Ms. Carol',Web'
16,2763000,7/2/2001',Sports,SP2300,2,NULL,Artis,Ms. Carol',Web'
17,2763000,7/2/2001',Sports,SP2700,3,NULL,Artis,Ms. Carol',Web'
18,2763000,12/1/2001',Sports,SP3100,1,NULL,Artis,Ms. Carol',Web'
19,2763000,3/2/2001',Toys,TY1650,1,NULL,Artis,Ms. Carol',Web'
20,2763000,3/1/2001',Toys,TY4200,2,NULL,Artis,Ms. Carol',Web'
21,2888000,14/8/2000',Gardening,GD1001,1,NULL,Montrose,Ms. Irene',Web'
22,2888000,1/1/2001',Pets,PT1200,1,NULL,Montrose,Ms. Irene',Web'
23,2888000,11/10/2000',Pets,PT1300,1,NULL,Montrose,Ms. Irene',Web'
24,2888000,7/9/2000',Sports,SP1400,1,NULL,Montrose,Ms. Irene',Web'
25,2888000,7/4/2001',Sports,SP2500,1,NULL,Montrose,Ms. Irene',Web'
26,2888000,26/3/2001',Sports,SP3000,2,NULL,Montrose,Ms. Irene',Web'
27,2888000,30/1/2001',Toys,TY1400,1,NULL,Montrose,Ms. Irene',Web'
28,2888000,30/1/2001',Toys,TY4600,4,NULL,Montrose,Ms. Irene',Web'
29,2888000,30/1/2001',Toys,TY5100,1,NULL,Montrose,Ms. Irene',Web'
30,3013000,6/7/2001',Gardening,GD1500,1,NULL,Hawks,Ms. Sue',Web'
31,3013000,6/7/2001',Gardening,GD2300,4,NULL,Hawks,Ms. Sue',Web'
32,3013000,7/1/2001',Toys,TY1700,1,NULL,Hawks,Ms. Sue',Web'
33,3013000,21/9/2000',Toys,TY1800,1,NULL,Hawks,Ms. Sue',Web'
34,3013000,21/9/2000',Toys,TY4100,1,NULL,Hawks,Ms. Sue',Web'
35,3138000,13/11/2000',Gardening,GD1001,2,NULL,Brahm,Mr. T. L.',Web'
36,3184000,14/11/2000',Gardening,GD1600,1,NULL,Jones,Mr. T. J.',Web'
37,3184000,14/11/2000',Gardenings,GD2200,3,NULL,Jones,Mr. T. J.',Web'
38,3184000,14/11/2000',Gardening,GD3200,1,NULL,Jones,Mr. T. J.',Web'
39,3184000,13/4/2001',Pets,PT1300,3,NULL,Jones,Mr. T. J.',Web'
40,3184000,26/2/2001',Pets,PT1400,3,NULL,Jones,Mr. T. J.',Web'
41,3184000,11/1/2001',Sports,SP3000,1,NULL,Jones,Mr. T. J.',Web'
42,3184000,6/2/2001',Sports,SP3000,1,NULL,Jones,Mr. T. J.',Web'
43,3184000,2/11/2000',Toys,TY1500,4,NULL,Jones,Mr. T. J.',Web'
